Sr.no,ID,Name of News,youtube link,https://youtu.be/ATOcPSGRgVk?si=pnFohU9qeZqgbPXj,Duration,standard duration,Publishing year,Media Organization,Auidio Quality,single speaker,Country,Pecha Tools,Group,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
673.0,STT_NW0660,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༤ ལོའི་ཟླ་༧ ཚེས་༡༠ Kunleng News July 10th, 2024",https://youtu.be/6QzerCqf8ow?si=AFgOjF2CJhiag68c,YouTube ,11:12,00:11:21,2024.0,VOA  Tibetan,GOOD,True,US ,,,,,,,,,,,,,,,
674.0,STT_NW0661,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༤ ལོའི་ཟླ་༢ ཚེས་༢༡ ། Kunleng News Feb 21st, 2024",https://youtu.be/Nzfqpy6ri88?si=LAj9pnGMNYgfHDzD,YouTube ,20:05,00:20:05,2024.0,VOA  Tibetan,GOOD,True,US ,,,,,,,,,,,,,,,
675.0,STT_NW0662,"Kunleng News July 12th, 2024.",https://youtu.be/HVqQ6-7dxxs?si=tJ83IPmUDcrSxDD2,YouTube ,13:32,00:13:33,2024.0,VOA  Tibetan,GOOD,True,US ,,,,,,,,,,,,,,,
676.0,STT_NW0663,ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༤ ཟླ་༧ ཚེས་༩,https://youtu.be/nxykZbm2XFU?si=KkcquEohXaWedjvB,YouTube ,20:14,00:20:15,2024.0,VOA  Tibetan,GOOD ,True,US ,,,,,,,,,,,,,,,
677.0,STT_NW0664,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༣ ལོའི་ཟླ་༥ ཚེས་༣༡ Kunleng News May 31, 2023",https://youtu.be/Bg_DmqdeMP8?si=v_amnyaWHgWdB4NJ,YouTube ,21:46,00:21:46,2024.0,VOA  Tibetan,GOOD,True,US ,,,,,,,,,,,,,,,
678.0,STT_NW0665,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༣ ལོའི་ཟླ་༧ ཚེས་༡༢ Kunleng News July 12, 2023",https://youtu.be/YMhlOEdI1S0?si=8OKQcENCkRT6nhMP,YouTube ,21:57,00:21:57,2024.0,VOA  Tibetan,GOOD ,True,US ,,,,,,,,,,,,,,,
679.0,STT_NW0666,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༤ ཟླ་༡ ཚེས་༢༤ Kunleng News Jan 24, 2024",https://youtu.be/XU0VeqW5qVs?si=fEYhWW2E7pYrsAJj,YouTube ,21:34,00:21:35,2024.0,VOA  Tibetan,good,True,US,,,,,,,,,,,,,,,
680.0,STT_NW0667,"བདུན་ཕྲག་འདིའི་བོད་དོན་གསར་འགྱུར་ཕྱོགས་བསྡུས། ༢༠༢༤།༠༧།༡༩ Tibet This Week (Tibetan)-July 19, 2024",https://youtu.be/-6QjdOPpaRY?si=Ws58DWfTxgUVsrVy,YouTube ,13:09,00:13:10,2024.0,TibetTV,GOOD,True,India,,,,,,,,,,,,,,,
681.0,STT_NW0668,"Kunleng News July 19th, 2024.",https://youtu.be/VSnyhWRLZ88?si=KGXNNzd-D41LqcBQ,YouTube ,11:56,00:11:56,2024.0,VOA  Tibetan,GOOD ,True,US,,,,,,,,,,,,,,,
682.0,STT_NW0669,"བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ༢༠༢༤།༠༦།༡༡TV Daily News June 11, 2024",https://youtu.be/jC5Ulndt-O4?si=mAFmh7dAAAix15xL,YouTube ,09:19,00:09:19,2024.0,TibetTV,GOOD ,True,India,,,,,,,,,,,,,,,
683.0,STT_NW0670,"Kunleng News October 29, 2021 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༡ ཟླ་༡༠ ཚེས་༢༩",https://youtu.be/bXUYVGiNsQY?si=M-DA2A1O8x0AxUTL,YouTube ,20:40,00:20:41,2021.0,VOA  Tibetan,GOOD ,True,US,,,,,,,,,,,,,,,
684.0,STT_NW0671,"Kunleng News July 28, 2021 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༡ ལོའི་ཟླ་༧ ཚེས་༢༨",https://youtu.be/bA74cKeJGiM?si=vJhkVF71_B-Zd_LL,YouTube ,18:09,00:18:09,2021.0,VOA  Tibetan,GOOD ,True,US,,,,,,,,,,,,,,,
685.0,STT_NW0672,"Kunleng News Feb 17, 2021 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༡ ལོའི་ཟླ་༢ ཚེས་༡༧",https://youtu.be/2ORbMiwVmuI?si=YcF5Rhncs5a9CjTc,YouTube ,20:16,00:20:17,2021.0,VOA  Tibetan,GOOD ,True,US ,,,,,,,,,,,,,,,
686.0,STT_NW0673,"Kunleng News May 10, 2023",https://youtu.be/RkrQH-xO5YY?si=SBAif00VqbqMHMkg,YouTube ,20:24,00:20:24,2023.0,VOA  Tibetan,GOOD ,True,US ,,,,,,,,,,,,,,,
687.0,STT_NW0674,Headline News May 28 2020 རྒྱལ་སྤྱིའི་གསར་འགྱུར། ༢༠༢༠ ཟླ་ ༥ ཚེས་ ༢༨,https://youtu.be/oouZMfBkdLA?si=o26SJ5X_l__9atrO,YouTube ,04:58,00:04:59,2020.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
688.0,STT_NW0675,"Kunleng News Oct 5, 2022 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༢ ལོའི་ཟླ་༡༠ ཚེས་༥",https://youtu.be/Od1T8V_W1zc?si=DWBWyzB8ZrkXth0F,YouTube ,18:13,00:18:14,2022.0,VOA  Tibetan,GOOD ,True,US,,,,,,,,,,,,,,,
689.0,STT_NW0676,"Kunleng News June 17, 2022 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༢ ལོའི་ཟླ་༦ ཚེས་༡༧",https://youtu.be/xo-1EA4AzrI?si=my7JqbfTwN-ogPEm,YouTube ,20:41,00:20:41,2022.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
