Audio File (Original),split duration,dept
STT_CS-D-2013-M-D-B05-4-R-03,00:14:39.410,STT_CS
STT_CS-D-2013-M-D-B05-5-R-01,00:03:15.194,STT_CS
STT_CS-D-2013-M-D-B05-5-R-03,00:02:45.337,STT_CS
STT_CS-D-2013-M-D-B05-5-R-04,00:10:46.809,STT_CS
STT_CS-D-2013-M-D-B05-5-R-05,00:08:34.299,STT_CS
STT_CS-D-2013-M-D-B05-5-R-06,00:07:40.756,STT_CS
STT_CS-D-2013-M-D-B06-4-R-01,00:08:13.345,STT_CS
STT_CS-D-2013-M-D-B06-4-R-01a,00:01:27.918,STT_CS
STT_CS-D-2013-M-D-B06-4-R-01b,00:01:40.676,STT_CS
STT_CS-D-2013-M-D-B06-4-R-02,00:01:25.877,STT_CS
STT_CS-D-2013-M-D-B06-4-R-03,00:01:19.236,STT_CS
STT_CS-D-2013-M-D-B06-4-R-04a,00:00:59.822,STT_CS
STT_CS-D-2013-M-D-B06-4-R-04b,00:00:55.063,STT_CS
STT_CS-D-2013-M-D-B06-4-R-04c,00:03:24.796,STT_CS
STT_CS-D-2013-M-D-B06-4-R-05,00:08:35.540,STT_CS
STT_CS-D-2013-M-D-B06-4-T-01,00:01:46.940,STT_CS
STT_CS-D-2013-M-D-B06-5-R-01,00:03:41.638,STT_CS
STT_CS-D-2013-M-D-B07-4-R-01a,00:02:52.514,STT_CS
STT_CS-D-2013-M-D-B07-4-R-01b,00:02:35.250,STT_CS
STT_CS-D-2013-M-D-B07-4-R-02,00:11:54.029,STT_CS
STT_CS-D-2013-M-D-B07-4-R-03,00:06:32.614,STT_CS
STT_CS-D-2013-M-D-B07-4-R-04,00:16:04.999,STT_CS
STT_CS-D-2013-M-D-B07-5-R-02,00:15:48.290,STT_CS
STT_CS-D-2013-M-D-B07-5-R-3,00:06:43.501,STT_CS
STT_CS-D-2013-M-D-B08-5-R-01,00:01:46.386,STT_CS
STT_CS-D-2013-M-D-G02-0-L-01,00:04:14.364,STT_CS
STT_CS-D-2013-M-D-G02-2-L-01,00:02:32.687,STT_CS
STT_CS-D-2013-M-D-G03-1-L-01,00:09:12.323,STT_CS
STT_CS-D-2013-P-D-B01-3-R-03,00:01:39.488,STT_CS
STT_CS-D-2013-P-D-B01-4-R-01-a,00:01:34.837,STT_CS
STT_CS-D-2013-P-D-B01-4-R-01-b,00:01:02.185,STT_CS
STT_CS-D-2013-P-D-B01-4-R-02,00:02:33.665,STT_CS
STT_CS-D-2013-P-D-B01-4-R-03,00:05:40.068,STT_CS
STT_CS-D-2013-P-D-B02-4-R-01a,00:00:59.939,STT_CS
STT_CS-D-2013-P-D-B02-4-R-02,00:05:35.738,STT_CS
STT_CS-D-2013-P-D-B03-2-R-01a,00:01:16.781,STT_CS
STT_CS-D-2013-P-D-B03-2-R-01b,00:00:44.904,STT_CS
STT_CS-D-2013-P-D-B03-2-R-03,00:17:31.423,STT_CS
STT_CS-D-2013-P-D-B03-4-R-01,00:01:14.673,STT_CS
STT_CS-D-2013-P-D-B04-4-R-01a,00:01:44.542,STT_CS
STT_CS-D-2013-P-D-B04-4-R-01b,00:06:16.947,STT_CS
STT_CS-D-2013-P-D-B04-4-R-02,00:14:28.157,STT_CS
STT_CS-D-2013-P-D-B04-4-R-03,00:05:16.223,STT_CS
STT_CS-D-2013-P-D-B04-4-R-04,00:00:37.901,STT_CS
STT_CS-D-2013-P-D-B04-4-R-05,00:06:37.513,STT_CS
STT_CS-D-2013-P-D-B04-4-R-06a,00:04:02.848,STT_CS
STT_CS-D-2013-P-D-B04-4-R-06b,00:04:07.437,STT_CS
STT_CS-D-2013-P-D-B04-4-R-07,00:09:33.024,STT_CS
STT_CS-D-2013-P-D-B04-4-R-08,00:17:03.157,STT_CS
STT_CS-D-2013-P-D-B04-6-R-01,00:18:37.020,STT_CS
